Date,SiteName,WaterBody,County,Town,SamplingNotes,Subsite,Sample,Datum,Easting,Northing,BDS_PA,SurveyMethod,PointGroup
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,3,WGS-84,551536,4902279,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,4,WGS-84,551538,4902288,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,5,WGS-84,551552,4902302,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,6,WGS-84,551554,4902322,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,7,WGS-84,551463,4902331,0,Seine,
10/6/2021,MARBRK,Marshall Brook,Hancock,Southwest Harbor,"Downstream to upstream: up a side channel for S5-6, above beaver dam (active) for S7-8. High-ish tide.",NA,8,WGS-84,551461,4902331,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,1,WGS-84,346273,4884411,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,2,WGS-84,346268,4884420,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,3,WGS-84,346266,4884433,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,4,WGS-84,346253,4884452,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,5,WGS-84,346241,4884490,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,6,WGS-84,346231,4884503,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,7,WGS-84,346211,4884520,0,Seine,
10/25/2021,OCSACO,Old Course Saco River,Oxford,Fryeburg,Downstream to upstream.  Lost screenshots of GPS net locations: locations estimated using aerial imagery.,NA,8,WGS-84,346198,4884529,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,1,NAD-83,353203,4852141,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,2,NAD-83,353216,4852148,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,3,NAD-83,353205,4852149,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,4,NAD-83,353198,4852148,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,5,NAD-83,353216,4852137,0,Seine,
8/26/2021,OSSIPE,Ossipee River,Oxford,Hiram,"Started in backwater, moved around shoreline into deeper water.  Stopped at 6th seine haul when 1 BDS caught.",NA,6,NAD-83,353203,4852148,1,Seine,
8/26/2021,OSSIPM,Ossipee River,Oxford,Porter,Lost meter stick in river. Stopped after 3 seine hauls because of BDS presence,NA,1,NAD-83,343788,4850675,0,Seine,
8/26/2021,OSSIPM,Ossipee River,Oxford,Porter,Lost meter stick in river. Stopped after 3 seine hauls because of BDS presence,NA,2,NAD-83,343797,4850684,0,Seine,
